"hitid"	"hittypeid"	"title"	"description"	"keywords"	"reward"	"creationtime"	"assignments"	"numavailable"	"numpending"	"numcomplete"	"hitstatus"	"reviewstatus"	"annotation"	"assignmentduration"	"autoapprovaldelay"	"hitlifetime"	"viewhit"	"assignmentid"	"workerid"	"assignmentstatus"	"autoapprovaltime"	"assignmentaccepttime"	"assignmentsubmittime"	"assignmentapprovaltime"	"assignmentrejecttime"	"deadline"	"feedback"	"reject"
"2GOKW4ZMAZHKKBMVK1FNQVRHE0ZI9C"	"2EVQ45UUKQO197JCVOJ8RG010VGDV5"	"Boxes around cars?"	"Please draw a box around each of the boxes in the image."	"bouding-boxes, cars, marking, website"	"$0.02"	"Sun Jan 26 22:08:54 PST 2014"	"1"	"1"	"0"	"0"	"Assignable"	"NotReviewed"	"https://s3.amazonaws.com/sv-images/I280/1000.png"	"3600"	"1296000"	"Wed Jan 29 22:08:54 PST 2014"	"https://requestersandbox.mturk.com/mturk/manageHIT?HITId=2GOKW4ZMAZHKKBMVK1FNQVRHE0ZI9C"			""	""	""	""	""	""	""	""	""
"2NKNJQ2172ZC2AIM5LCCYEBUEJ1QYC"	"2EVQ45UUKQO197JCVOJ8RG010VGDV5"	"Boxes around cars?"	"Please draw a box around each of the boxes in the image."	"bouding-boxes, cars, marking, website"	"$0.02"	"Sun Jan 26 22:08:54 PST 2014"	"1"	"1"	"0"	"0"	"Assignable"	"NotReviewed"	"https://s3.amazonaws.com/sv-images/I280/1001.png"	"3600"	"1296000"	"Wed Jan 29 22:08:54 PST 2014"	"https://requestersandbox.mturk.com/mturk/manageHIT?HITId=2NKNJQ2172ZC2AIM5LCCYEBUEJ1QYC"			""	""	""	""	""	""	""	""	""
"23WC1PC6SK9UCS64TJQEKMAA226P1M"	"2EVQ45UUKQO197JCVOJ8RG010VGDV5"	"Boxes around cars?"	"Please draw a box around each of the boxes in the image."	"bouding-boxes, cars, marking, website"	"$0.02"	"Sun Jan 26 22:08:54 PST 2014"	"1"	"1"	"0"	"0"	"Assignable"	"NotReviewed"	"https://s3.amazonaws.com/sv-images/I280/1002.png"	"3600"	"1296000"	"Wed Jan 29 22:08:54 PST 2014"	"https://requestersandbox.mturk.com/mturk/manageHIT?HITId=23WC1PC6SK9UCS64TJQEKMAA226P1M"			""	""	""	""	""	""	""	""	""
"255NVRH1KHOC70SR17EVCLKWKD5QZ3"	"2EVQ45UUKQO197JCVOJ8RG010VGDV5"	"Boxes around cars?"	"Please draw a box around each of the boxes in the image."	"bouding-boxes, cars, marking, website"	"$0.02"	"Sun Jan 26 22:08:54 PST 2014"	"1"	"1"	"0"	"0"	"Assignable"	"NotReviewed"	"https://s3.amazonaws.com/sv-images/I280/1003.png"	"3600"	"1296000"	"Wed Jan 29 22:08:54 PST 2014"	"https://requestersandbox.mturk.com/mturk/manageHIT?HITId=255NVRH1KHOC70SR17EVCLKWKD5QZ3"			""	""	""	""	""	""	""	""	""
"2C79746OQ1SQJA8608R54QKC07JN3G"	"2EVQ45UUKQO197JCVOJ8RG010VGDV5"	"Boxes around cars?"	"Please draw a box around each of the boxes in the image."	"bouding-boxes, cars, marking, website"	"$0.02"	"Sun Jan 26 22:08:55 PST 2014"	"1"	"1"	"0"	"0"	"Assignable"	"NotReviewed"	"https://s3.amazonaws.com/sv-images/I280/1004.png"	"3600"	"1296000"	"Wed Jan 29 22:08:55 PST 2014"	"https://requestersandbox.mturk.com/mturk/manageHIT?HITId=2C79746OQ1SQJA8608R54QKC07JN3G"			""	""	""	""	""	""	""	""	""
"2NORLPHIT3HYPUW0C7TNMQ21KIHIAR"	"2EVQ45UUKQO197JCVOJ8RG010VGDV5"	"Boxes around cars?"	"Please draw a box around each of the boxes in the image."	"bouding-boxes, cars, marking, website"	"$0.02"	"Sun Jan 26 22:08:55 PST 2014"	"1"	"1"	"0"	"0"	"Assignable"	"NotReviewed"	"https://s3.amazonaws.com/sv-images/I280/1005.png"	"3600"	"1296000"	"Wed Jan 29 22:08:55 PST 2014"	"https://requestersandbox.mturk.com/mturk/manageHIT?HITId=2NORLPHIT3HYPUW0C7TNMQ21KIHIAR"			""	""	""	""	""	""	""	""	""
"235CWYB49F9VLCIDV2AOQST5ULXTPZ"	"2EVQ45UUKQO197JCVOJ8RG010VGDV5"	"Boxes around cars?"	"Please draw a box around each of the boxes in the image."	"bouding-boxes, cars, marking, website"	"$0.02"	"Sun Jan 26 22:08:55 PST 2014"	"1"	"1"	"0"	"0"	"Assignable"	"NotReviewed"	"https://s3.amazonaws.com/sv-images/I280/1006.png"	"3600"	"1296000"	"Wed Jan 29 22:08:55 PST 2014"	"https://requestersandbox.mturk.com/mturk/manageHIT?HITId=235CWYB49F9VLCIDV2AOQST5ULXTPZ"			""	""	""	""	""	""	""	""	""
"29JCSTMOFXRGLOJSVFPDQXJFZHJTQQ"	"2EVQ45UUKQO197JCVOJ8RG010VGDV5"	"Boxes around cars?"	"Please draw a box around each of the boxes in the image."	"bouding-boxes, cars, marking, website"	"$0.02"	"Sun Jan 26 22:08:55 PST 2014"	"1"	"1"	"0"	"0"	"Assignable"	"NotReviewed"	"https://s3.amazonaws.com/sv-images/I280/1007.png"	"3600"	"1296000"	"Wed Jan 29 22:08:55 PST 2014"	"https://requestersandbox.mturk.com/mturk/manageHIT?HITId=29JCSTMOFXRGLOJSVFPDQXJFZHJTQQ"			""	""	""	""	""	""	""	""	""
"26E1INMHGYQ7CNOQ572FPFFOBE0K7D"	"2EVQ45UUKQO197JCVOJ8RG010VGDV5"	"Boxes around cars?"	"Please draw a box around each of the boxes in the image."	"bouding-boxes, cars, marking, website"	"$0.02"	"Sun Jan 26 22:08:55 PST 2014"	"1"	"1"	"0"	"0"	"Assignable"	"NotReviewed"	"https://s3.amazonaws.com/sv-images/I280/1008.png"	"3600"	"1296000"	"Wed Jan 29 22:08:55 PST 2014"	"https://requestersandbox.mturk.com/mturk/manageHIT?HITId=26E1INMHGYQ7CNOQ572FPFFOBE0K7D"			""	""	""	""	""	""	""	""	""
"2PG1THV8ER911DO0CNQSP5KFU8KP23"	"2EVQ45UUKQO197JCVOJ8RG010VGDV5"	"Boxes around cars?"	"Please draw a box around each of the boxes in the image."	"bouding-boxes, cars, marking, website"	"$0.02"	"Sun Jan 26 22:08:55 PST 2014"	"1"	"1"	"0"	"0"	"Assignable"	"NotReviewed"	"https://s3.amazonaws.com/sv-images/I280/1009.png"	"3600"	"1296000"	"Wed Jan 29 22:08:55 PST 2014"	"https://requestersandbox.mturk.com/mturk/manageHIT?HITId=2PG1THV8ER911DO0CNQSP5KFU8KP23"			""	""	""	""	""	""	""	""	""
