"hitid"	"hittypeid"	"title"	"description"	"keywords"	"reward"	"creationtime"	"assignments"	"numavailable"	"numpending"	"numcomplete"	"hitstatus"	"reviewstatus"	"annotation"	"assignmentduration"	"autoapprovaldelay"	"hitlifetime"	"viewhit"	"assignmentid"	"workerid"	"assignmentstatus"	"autoapprovaltime"	"assignmentaccepttime"	"assignmentsubmittime"	"assignmentapprovaltime"	"assignmentrejecttime"	"deadline"	"feedback"	"reject"	"Answer.markings"
"2FQE4BLYHVI7X8TIEML8GNEZ5RT0UR"	"2EVQ45UUKQO197JCVOJ8RG010VGDV5"	"Boxes around cars?"	"Please draw a box around each of the boxes in the image."	"bouding-boxes, cars, marking, website"	"$0.02"	"Sun Jan 26 22:53:31 PST 2014"	"1"	"0"	"0"	"0"	"Reviewable"	"NotReviewed"	"https://s3.amazonaws.com/sv-images/I280/1000.png"	"3600"	"1296000"	"Wed Jan 29 22:53:31 PST 2014"	"https://requestersandbox.mturk.com/mturk/manageHIT?HITId=2FQE4BLYHVI7X8TIEML8GNEZ5RT0UR"	"2K5ZXR24SME2SMNYENE9X8P90KX0HJ"	"A38DOPPMIG2QTQ"	"Submitted"	"Mon Feb 10 22:55:32 PST 2014"	"Sun Jan 26 22:55:28 PST 2014"	"Sun Jan 26 22:55:32 PST 2014"	""	""	""	""	""	"{""width"":700,""height"":437,""markings"":[[{""x"":318,""y"":233},{""x"":371,""y"":307}]]}"
"2KFUYT3DHJHSXVETEHVYBRSXMDM0T0"	"2EVQ45UUKQO197JCVOJ8RG010VGDV5"	"Boxes around cars?"	"Please draw a box around each of the boxes in the image."	"bouding-boxes, cars, marking, website"	"$0.02"	"Sun Jan 26 22:53:31 PST 2014"	"1"	"1"	"0"	"0"	"Assignable"	"NotReviewed"	"https://s3.amazonaws.com/sv-images/I280/1001.png"	"3600"	"1296000"	"Wed Jan 29 22:53:31 PST 2014"	"https://requestersandbox.mturk.com/mturk/manageHIT?HITId=2KFUYT3DHJHSXVETEHVYBRSXMDM0T0"			""	""	""	""	""	""	""	""	""	
"21KJE1M7PKKCEBXMI01C34LZA53YRL"	"2EVQ45UUKQO197JCVOJ8RG010VGDV5"	"Boxes around cars?"	"Please draw a box around each of the boxes in the image."	"bouding-boxes, cars, marking, website"	"$0.02"	"Sun Jan 26 22:53:32 PST 2014"	"1"	"0"	"0"	"0"	"Reviewable"	"NotReviewed"	"https://s3.amazonaws.com/sv-images/I280/1002.png"	"3600"	"1296000"	"Wed Jan 29 22:53:32 PST 2014"	"https://requestersandbox.mturk.com/mturk/manageHIT?HITId=21KJE1M7PKKCEBXMI01C34LZA53YRL"	"2BP3V0FK0CONV3FHG8GKN9LRYNCOHW"	"A38DOPPMIG2QTQ"	"Submitted"	"Mon Feb 10 22:55:22 PST 2014"	"Sun Jan 26 22:55:16 PST 2014"	"Sun Jan 26 22:55:22 PST 2014"	""	""	""	""	""	"{""width"":700,""height"":437,""markings"":[[{""x"":358,""y"":227},{""x"":476,""y"":316}]]}"
"2QAKMT6YTWX7ANIIJCVDC9GIJY20VG"	"2EVQ45UUKQO197JCVOJ8RG010VGDV5"	"Boxes around cars?"	"Please draw a box around each of the boxes in the image."	"bouding-boxes, cars, marking, website"	"$0.02"	"Sun Jan 26 22:53:32 PST 2014"	"1"	"0"	"1"	"0"	"Unassignable"	"NotReviewed"	"https://s3.amazonaws.com/sv-images/I280/1003.png"	"3600"	"1296000"	"Wed Jan 29 22:53:32 PST 2014"	"https://requestersandbox.mturk.com/mturk/manageHIT?HITId=2QAKMT6YTWX7ANIIJCVDC9GIJY20VG"			""	""	""	""	""	""	""	""	""	
"2KVHJHP4BDDN9OZOLTO903G3INF5YF"	"2EVQ45UUKQO197JCVOJ8RG010VGDV5"	"Boxes around cars?"	"Please draw a box around each of the boxes in the image."	"bouding-boxes, cars, marking, website"	"$0.02"	"Sun Jan 26 22:53:32 PST 2014"	"1"	"0"	"0"	"0"	"Reviewable"	"NotReviewed"	"https://s3.amazonaws.com/sv-images/I280/1004.png"	"3600"	"1296000"	"Wed Jan 29 22:53:32 PST 2014"	"https://requestersandbox.mturk.com/mturk/manageHIT?HITId=2KVHJHP4BDDN9OZOLTO903G3INF5YF"	"2RNWAVKI62NMJM2NW009TH6BM20RJD"	"A38DOPPMIG2QTQ"	"Submitted"	"Mon Feb 10 22:55:11 PST 2014"	"Sun Jan 26 22:55:06 PST 2014"	"Sun Jan 26 22:55:11 PST 2014"	""	""	""	""	""	"{""width"":700,""height"":437,""markings"":[[{""x"":348,""y"":231},{""x"":431,""y"":299}]]}"
"21NUFJ51Y7QHHJGEKTSCVTMOSDAADI"	"2EVQ45UUKQO197JCVOJ8RG010VGDV5"	"Boxes around cars?"	"Please draw a box around each of the boxes in the image."	"bouding-boxes, cars, marking, website"	"$0.02"	"Sun Jan 26 22:53:32 PST 2014"	"1"	"1"	"0"	"0"	"Assignable"	"NotReviewed"	"https://s3.amazonaws.com/sv-images/I280/1005.png"	"3600"	"1296000"	"Wed Jan 29 22:53:32 PST 2014"	"https://requestersandbox.mturk.com/mturk/manageHIT?HITId=21NUFJ51Y7QHHJGEKTSCVTMOSDAADI"			""	""	""	""	""	""	""	""	""	
"2Z7DOBDDP8PMP4VT79OME3Q3MFJ3E8"	"2EVQ45UUKQO197JCVOJ8RG010VGDV5"	"Boxes around cars?"	"Please draw a box around each of the boxes in the image."	"bouding-boxes, cars, marking, website"	"$0.02"	"Sun Jan 26 22:53:32 PST 2014"	"1"	"0"	"0"	"0"	"Reviewable"	"NotReviewed"	"https://s3.amazonaws.com/sv-images/I280/1006.png"	"3600"	"1296000"	"Wed Jan 29 22:53:32 PST 2014"	"https://requestersandbox.mturk.com/mturk/manageHIT?HITId=2Z7DOBDDP8PMP4VT79OME3Q3MFJ3E8"	"2CKEIUUU00OTD4BKCJJ8V2U28POTTX"	"A38DOPPMIG2QTQ"	"Submitted"	"Mon Feb 10 22:55:05 PST 2014"	"Sun Jan 26 22:55:01 PST 2014"	"Sun Jan 26 22:55:05 PST 2014"	""	""	""	""	""	"{""width"":700,""height"":437,""markings"":[[{""x"":349,""y"":222},{""x"":427,""y"":309}]]}"
"21ASZVXX2Q48NEL6IZ7NLW1N5O77P2"	"2EVQ45UUKQO197JCVOJ8RG010VGDV5"	"Boxes around cars?"	"Please draw a box around each of the boxes in the image."	"bouding-boxes, cars, marking, website"	"$0.02"	"Sun Jan 26 22:53:32 PST 2014"	"1"	"0"	"0"	"0"	"Reviewable"	"NotReviewed"	"https://s3.amazonaws.com/sv-images/I280/1007.png"	"3600"	"1296000"	"Wed Jan 29 22:53:32 PST 2014"	"https://requestersandbox.mturk.com/mturk/manageHIT?HITId=21ASZVXX2Q48NEL6IZ7NLW1N5O77P2"	"2GT8N46UXFCGXPYS8UEDVNTKK4RTRK"	"A38DOPPMIG2QTQ"	"Submitted"	"Mon Feb 10 22:54:45 PST 2014"	"Sun Jan 26 22:54:41 PST 2014"	"Sun Jan 26 22:54:45 PST 2014"	""	""	""	""	""	"{""width"":700,""height"":437,""markings"":[[{""x"":353,""y"":228},{""x"":429,""y"":318}]]}"
"27OSVQ8H88MTNQMLICMCL1RXAKT7QT"	"2EVQ45UUKQO197JCVOJ8RG010VGDV5"	"Boxes around cars?"	"Please draw a box around each of the boxes in the image."	"bouding-boxes, cars, marking, website"	"$0.02"	"Sun Jan 26 22:53:32 PST 2014"	"1"	"0"	"0"	"0"	"Reviewable"	"NotReviewed"	"https://s3.amazonaws.com/sv-images/I280/1008.png"	"3600"	"1296000"	"Wed Jan 29 22:53:32 PST 2014"	"https://requestersandbox.mturk.com/mturk/manageHIT?HITId=27OSVQ8H88MTNQMLICMCL1RXAKT7QT"	"2QQQ4J3NAB6E86GVIZPIW1TJHU4RES"	"A38DOPPMIG2QTQ"	"Submitted"	"Mon Feb 10 22:54:41 PST 2014"	"Sun Jan 26 22:54:35 PST 2014"	"Sun Jan 26 22:54:41 PST 2014"	""	""	""	""	""	"{""width"":700,""height"":437,""markings"":[[{""x"":363,""y"":229},{""x"":434,""y"":290}]]}"
"22GHVI44OS2NEE9THFQSEAP5OHJ5Z6"	"2EVQ45UUKQO197JCVOJ8RG010VGDV5"	"Boxes around cars?"	"Please draw a box around each of the boxes in the image."	"bouding-boxes, cars, marking, website"	"$0.02"	"Sun Jan 26 22:53:32 PST 2014"	"1"	"0"	"0"	"0"	"Reviewable"	"NotReviewed"	"https://s3.amazonaws.com/sv-images/I280/1009.png"	"3600"	"1296000"	"Wed Jan 29 22:53:32 PST 2014"	"https://requestersandbox.mturk.com/mturk/manageHIT?HITId=22GHVI44OS2NEE9THFQSEAP5OHJ5Z6"	"2XDVWJ5OPB01O00OSNNBAEP9WKPW4U"	"A38DOPPMIG2QTQ"	"Submitted"	"Mon Feb 10 22:54:29 PST 2014"	"Sun Jan 26 22:54:16 PST 2014"	"Sun Jan 26 22:54:29 PST 2014"	""	""	""	""	""	"{""width"":700,""height"":437,""markings"":[[{""x"":254,""y"":227},{""x"":299,""y"":258}],[{""x"":362,""y"":227},{""x"":432,""y"":291}],[{""x"":449,""y"":242},{""x"":504,""y"":282}],[{""x"":294,""y"":245},{""x"":344,""y"":279}]]}"
